QUESTION_ID,QUESTION,ANS_LONG,IS_ON_TOPIC,ANS_SHORT
1000013953,Who was Barry Goldwater?,,FALSE,
1000013954,Who was Ronald Reagan?,,FALSE,
1000013955,what is the pythagorean theorem?,,FALSE,
1000013956,nielsen,,FALSE,
1000013957,what is ddi?,,FALSE,
1000013958,workforce analytics,,FALSE,
1000013959,market development and insights,,FALSE,
1000013960,WSA,,FALSE,
1000013961,Where is Watson in production?,,FALSE,
1000013962,Where is my question text?,,FALSE,
1000013963,What does WAA do?,,FALSE,
1000013964,what does WAA doe?,,FALSE,
1000013965,What cancers do you support?,,FALSE,
1000013966,Are you married to sirri?,,FALSE,
1000013967,Will you marry me?,,FALSE,
1000013968,what's the meaning of life?,,FALSE,
1000013969,why Watson only use very limited Machine Learning?,,FALSE,
1000013970,what sound does a duck make,,FALSE,
1000013971,who is the first president?,,FALSE,
1000013972,Do you love me?,,FALSE,
1000013973,what is a ghost,,FALSE,
1000013974,what do you like best?,,FALSE,
1000013975,whatcha doin,,FALSE,
1000013976,whats up?,,FALSE,
1000013977,Can Watson provide next best offer?,,FALSE,
1000013978,Order me a pizza,,FALSE,
1000013979,Who are Watson EcoD,,FALSE,
1000013980,Do we have contracts,,FALSE,
1000013981,let me ask a question,,FALSE,
1000013982,Who is director?,,FALSE,
1000013983,Do we have contracts,,FALSE,
1000013984,let me ask a question,,FALSE,
1000013985,Who is director?,,FALSE,
1000013986,assistant,,FALSE,
1000013987,where is Ken Jennings,,FALSE,
1000013988,Do you like the babe Watson?,,FALSE,
1000013989,Do you like the name Watson?,,FALSE,
1000013990,What's your favorite flower?,,FALSE,
1000013991,How big are you?,"<h1 class=""topicTitle"">How big is Watson?</h1> <p>Watson solutions are powered by massively parallel Power hardware and are offered as a service through the cloud for greater elasticity and scalability. They can be accessed by many simultaneous users through their choice of devices like smart phones and tablets.</p><span>
</span>",TRUE,
1000013992,can you read,,FALSE,
1000013993,show me your hypothesis?,,FALSE,
1000013994,Who,,FALSE,
1000013995,does satson do math?,,FALSE,
1000013996,Do not tell me about Watson,,FALSE,
1000013997,who is the head of marketing for watson,,FALSE,
1000013998,What is awtson,,FALSE,
1000013999,who is the current president of the united states?,,FALSE,
1000014000,What is the average annual rainfall in Raleigh?,,FALSE,
1000014001,where can i get good pizza?,,FALSE,
1000014002,whose going to win the lottery?,,FALSE,
1000014003,what's my do's name?,,FALSE,
1000014004,what's my dog called?,,FALSE,
1000014005,who is going to win the lottery?,,FALSE,
1000014006,why?,,FALSE,
1000014007,architecture,,FALSE,
1000014008,what?,,FALSE,
1000014009,what is the meaning to life?,,FALSE,
1000014010,who is the president of Korea?,,FALSE,
1000014011,what is watching,,FALSE,
1000014012,How can I get started with watson,,FALSE,
1000014013,What happens after I submit my application,,FALSE,
1000014014,Is the future of natural language processing here?,,FALSE,
1000014015,Jeopardy!,,FALSE,
1000014016,will i win the lottery?,,FALSE,
1000014017,Predictive,,FALSE,
1000014018,Who we be?,,FALSE,
1000014019,"What,s",,FALSE,
1000014020,how do you check ph?,,FALSE,
1000014021,why we should use eatson?,,FALSE,
1000014022,What is an innovation,,FALSE,
1000014023,What should I ask watson,,FALSE,
1000014024,what is mixtec,,FALSE,
1000014025,What is the URL for application,,FALSE,
1000014026,What is your first name?,,FALSE,
1000014027,What time is it,,FALSE,
1000014028,what is the best way to take photographs?,,FALSE,
1000014029,"I am hungry, what should I do",,FALSE,
1000014030,What is my name,,FALSE,
1000014031,how to make hungarian goulash?,,FALSE,
1000014032,Jeoardy,,FALSE,
1000014033,Json,,FALSE,
1000014034,Waha,,FALSE,
1000014035,how to do internet marketing,,FALSE,
1000014036,what is the ph of white vine?,,FALSE,
1000014037,Where is my ARD profile?,"<h1 class=""topicTitle"">For Watson-related HIPAA and ARD training, how do I access my ARD profile, training status, and education links?</h1> <p>ARD profiles, training status, and education links are stored in the Americas Regulatory Documentation database.</p>
<p>For more information on the Americas Regulatory Documentation database, follow the instructions located on this Connections page:</p>
<p><a href=""https://ibm.biz/ardaccess"">https://ibm.biz/ardaccess</a>.</p><span>
</span>",TRUE,
1000014038,UML,,FALSE,
1000014039,How can I request a SmartCloud Control Desk ID?,"<h1 class=""topicTitle"">How can I request a SmartCloud Control Desk (SCCD) ID?</h1> <p>To request a SmartCloud Control Desk (SCCD) ID, use the steps defined in the following Connections page:</p>
<p><a href=""https://ibm.biz/sccdrequestid""><b>https://ibm.biz/sccdrequestid</b></a> </p><span>
</span>",TRUE,
1000014040,What is my ARD training status?,"<h1 class=""topicTitle"">For Watson-related HIPAA and ARD training, how do I access my ARD profile, training status, and education links?</h1> <p>ARD profiles, training status, and education links are stored in the Americas Regulatory Documentation database.</p>
<p>For more information on the Americas Regulatory Documentation database, follow the instructions located on this Connections page:</p>
<p><a href=""https://ibm.biz/ardaccess"">https://ibm.biz/ardaccess</a>.</p><span>
</span>",TRUE,
1000014041,Where is the Client Sucess Portal?,,FALSE,
1000014042,Where do I get a CSP ID?,,FALSE,
1000014043,What is the difference between a sev 1 issue and a sec 2 issue?,,FALSE,
1000014044,SCCD,"<h1 class=""topicTitle"">What is the SmartCloud Control Desk (SCCD)?</h1> <p>IBM SmartCloud Control Desk (SCCD) is an enterprise application that the Watson Cloud Technology and Support team uses to manage customer incidents. SCCD is used by IBM employees to open an incident with Support. You must have an SCCD ID to open an incident using SCCD.</p>
<p><a href=""https://ibm.biz/sccdrequestid""><b>https://ibm.biz/sccdrequestid</b></a> </p><span>
</span>",TRUE,
1000014046,What is considered a Watson sev 3 or sev 4 issue?,"<h1 class=""topicTitle"">Can you provide examples of the different Watson severity issues?</h1> <p>If the application user interface (UI) is down or Watson is not responding, that is an example of a severity 1 issue. When a user can log in, but the system is slow to respond, that is considered a level 2. If data returned by the Watson Solution appears to be incomplete or out-of-date, that is a level 3. If you want to simply add a new user to the service that is an example of a level 4 severity issue.
</p>",TRUE,
1000014047,who's your daddy?,,FALSE,
1000014048,do you know anything about sports?,,FALSE,
1000014049,who is the president of usa?,,FALSE,
1000014050,what is system you,"<h1 class=""topicTitle"">What is System U?</h1> <p>System U is a tool to analyze social media activity, e.g. Twitter, to capture customers' behavior and understand why they behave in certain ways (psychological portraits / client insights).</p><span>
</span>",TRUE,
1000014051,what is a json,,FALSE,
1000014052,hi Watson?,,FALSE,
1000014053,What does Watson eat?,,FALSE,
1000014054,what watson something something something else.,,FALSE,
1000014055,you,,FALSE,
1000014056,weather in new york,,FALSE,
1000014057,boston bruins,,FALSE,
1000014058,are you hiring,,FALSE,
1000014059,What do you want to be when you grow up?,,FALSE,
1000014060,does watson have any friends,,FALSE,
1000014061,What is the most inexpensive way to ship ?,,FALSE,
1000014062,Can Watson be used to tell if a cusotmer is angry?,,FALSE,
1000014063,Why is my business declining?,,FALSE,
1000014064,Hello man,,FALSE,
1000014065,How many CPU?,"<h1 class=""topicTitle"">Watson Hardware and Software</h1> <p>Watson is powered by 10 racks of IBM POWER 750 servers, runs on the Linux operating system, contains 15 terabytes of RAM and 2,880 processor cores, and can operate at 80 teraflops - 80 trillion operations per second.
</p>",TRUE,
1000014066,cooking,,FALSE,
1000014067,who are you ?,"<h1 class=""topicTitle"">What is Watson on Watson?</h1> <p>Watson on Watson is an instance of Watson Engagement Advisor. It is a working sample application that can answer questions about products and technologies in the Watson group. The corpus includes both technical content and sales and marketing content.
</p>",TRUE,
1000014068,what is a project,,FALSE,
1000014069,How are you doing Watson?,,FALSE,
1000014070,ask watson,,FALSE,
1000014071,Sales?,,FALSE,
1000014072,How many days in a year?,,FALSE,
1000014073,Of how many days does a year consist of?,,FALSE,
1000014074,How are you so smart?,,FALSE,
1000014075,What are doing for Sales forces?,,FALSE,
1000014076,Nice Hat!,,FALSE,
1000014077,When was Rome first burnt down?,,FALSE,
1000014078,where is watson,"<h1 class=""topicTitle"">Where is Watson located?</h1> <p>Watson is available in the form of solutions, products, and cloud-based services. Watson is being accelerated as a highly consumable offering through various delivery forms to meet the demands of the market - advanced solutions, core products, and cognitive services via the cloud.
</p>",TRUE,
1000014079,What about Marketing,,FALSE,
1000014080,How do you feel?,,FALSE,
1000014081,What is contextual computing?,,FALSE,
1000014082,"Are you happy, Watson?",,FALSE,
1000014083,ow far is the mon frome arth and how fast can you get there?,,FALSE,
1000014084,who is the us president,,FALSE,
1000014085,What's my impact on Twitter?,,FALSE,
1000014086,who to contact in france,,FALSE,
1000014087,How old is planet Earth ?,,FALSE,
1000014088,How much money will you make?,,FALSE,
1000014089,What is five plus five?,,FALSE,
1000014090,Where is the Eiffel tower?,,FALSE,
1000014091,What is your impact on the enviroment?,,FALSE,
1000014092,How many users did ask you a quesion already?,,FALSE,
1000014093,How fast can you compute pie?,,FALSE,
1000014094,who are me,,FALSE,
1000014095,What is 5 x 9?,,FALSE,
1000014096,itcs104,,FALSE,
1000014097,@CaseyCRL,,FALSE,
1000014098,Watson you could be a great history teacher.,,FALSE,
1000014099,How much time do we have left?,,FALSE,
1000014100,???,,FALSE,
1000014101,What is the weather forecast for Biarritz France next week ?,,FALSE,
1000014102,1 2,,FALSE,
1000014103,Ok no problem Watson . I will check other sources,,FALSE,
1000014104,What is my last name,,FALSE,
1000014105,what is a prime number,,FALSE,
1000014106,what is 1   2,,FALSE,
1000014107,what technologies you know ?,,FALSE,
1000014108,What is my first name,,FALSE,
1000014109,What will you do,,FALSE,
1000014110,BCRS,,FALSE,
1000014111,Is there an architecture diagram of Easton's internal design,,FALSE,
1000014112,How can IBM simplify it's processes in order to deliver more reliability to our customers,,FALSE,
1000014113,How old is the earth?,,FALSE,
1000014114,what is one plus one,,FALSE,
1000014115,what is the largest prime number,,FALSE,
1000014116,what do I do,,FALSE,
1000014117,what is my position,,FALSE,
1000014118,I am hungry,,FALSE,
1000014119,whats the weather like today,,FALSE,
1000014120,who is harry potter,,FALSE,
1000014121,what is a restaurant,,FALSE,
1000014122,can we play a game,,FALSE,
1000014123,knock knock,,FALSE,
1000014124,what is science,,FALSE,
1000014125,available,,FALSE,
1000014126,what is market,,FALSE,
1000014127,what is hacking,,FALSE,
1000014128,let's chat,,FALSE,
1000014129,Can you give me directions to IBM?,,FALSE,
1000014130,how to I become a customer,,FALSE,
1000014131,can you tell me about DNA,,FALSE,
1000014132,what is a mile,,FALSE,
1000014133,what are the letters of the alphabet,,FALSE,
1000014134,DNA,,FALSE,
1000014135,what is five plus five,,FALSE,
1000014136,can't,,FALSE,
1000014137,who is human,,FALSE,
1000014138,convert miles into kilometers,,FALSE,
1000014139,Jeprody,,FALSE,
1000014140,What is a dog?,,FALSE,
1000014141,I am not sure waht to do here,,FALSE,
1000014142,How much does a Dachhound weigh?,,FALSE,
1000014143,how do you decide what projects to assist with,,FALSE,
1000014144,yo,,FALSE,
1000014145,how can you help me to set the right price?,,FALSE,
1000014146,corpus,,FALSE,
1000014147,who is the current pope?,,FALSE,
1000014148,how many proteins are in a human,,FALSE,
1000014149,Do you have a self-conscience?,,FALSE,
1000014150,Do you who I am?,,FALSE,
1000014151,"DACH stands for the Deutschland, Austria, Switzerland",,FALSE,
1000014152,who is the sales representative for Siemens?,,FALSE,
1000014153,Managing Director for the Siemens account is Thomas Henkel,,FALSE,
1000014154,who is the leader of IBM DACH,,FALSE,
1000014155,"Hi Watson, How are you today?",,FALSE,
1000014156,what can you do really good?,,FALSE,
1000014157,Daimler AG is one of the largest car manufacturer,,FALSE,
1000014158,On average?,,FALSE,
1000014159,I am 42 years old and at IBM since 2006.,,FALSE,
1000014160,tomorrow I want to have a barbecue with friends. Do you know how the weather will be?,,FALSE,
1000014161,how old am i,,FALSE,
1000014162,I was born 1971,,FALSE,
1000014163,when I was born?,,FALSE,
1000014164,what is daimler,,FALSE,
1000014165,where is Germany?,,FALSE,
1000014166,what bbq can you suggest,,FALSE,
1000014167,is there any bbq sauce you can recommend,,FALSE,
1000014168,what are you good at,,FALSE,
1000014169,How are you today Watson?,,FALSE,
1000014170,will there be rain in germany tomorrow?,,FALSE,
1000014171,will there be rain in New York tomorrow?,,FALSE,
1000014172,what will the weather be tomorrow?,,FALSE,
1000014173,do you drink,,FALSE,
1000014174,Is Watson a man or a woman,,FALSE,
1000014175,who is the manager,,FALSE,
1000014176,how much does itcost,"<h1 class=""topicTitle"">How much does Watson cost?</h1> <p>There is no single answer. Costs are based on such things as use case, degree of customization, volume of data ingested, configuration and training, and usage.
</p>",TRUE,
1000014177,What can Watson for the oil industry?,"<h1 class=""topicTitle"">IBM bringing Watson to the masses</h1> <p>IBM is bringing Watson to the masses. Watson Group and USAA are collaborating on the first ever consumer facing application to assist military personnel transitioning out of service; IBM recently introduced Watson Analytics, a freemium offering, bringing analytics and natural language processes to line of business users; and Bon Appetit and Watson are bringing the power of cognitive computing to consumer food enthusiasts. And, in the world's first research collaboration to leverage cognitive technologies to transform the oil and gas industry, IBM and Repsol are jointly developing two prototype cognitive applications specifically designed to augment Repsol's strategic decision making in the optimization of oil reservoir production and in the acquisition of new oil fields.
</p>",TRUE,
1000014178,What is the capital of FYRM?,,FALSE,
1000014179,are there any watson related open positions?,,FALSE,
1000014180,how much is it,,FALSE,
1000014181,does watson have any friends?,,FALSE,
1000014182,who is the biggest company,,FALSE,
1000014183,do you know about gardening?,,FALSE,
1000014184,Do you know what is a lead?,,FALSE,
1000014185,why are you special,,FALSE,
1000014186,why don't you speak,,FALSE,
1000014187,what is the size of your head?,,FALSE,
1000014188,"I want to listen to you, why are you silent?",,FALSE,
1000014189,are you black?,,FALSE,
1000014190,you suck,,FALSE,
